Дата и Время,Всего сделок,Винрейт (%),Чистая прибыль (USDT)
2026-05-16 20:25:46,0,0.0%,$0.00
2026-05-16 20:33:44,0,0.0%,$0.00
2026-05-16 21:20:04,0,0.0%,$0.00
2026-05-16 21:28:28,0,0.0%,$0.00
2026-05-16 21:36:38,0,0.0%,$0.00
2026-05-16 21:45:01,0,0.0%,$0.00
2026-05-16 21:53:33,0,0.0%,$0.00
2026-05-16 22:01:46,0,0.0%,$0.00
2026-05-16 22:09:50,0,0.0%,$0.00
2026-05-16 22:17:57,0,0.0%,$0.00
2026-05-16 22:25:47,0,0.0%,$0.00
2026-05-16 22:33:35,0,0.0%,$0.00
2026-05-16 23:17:16,0,0.0%,$0.00
2026-05-16 23:25:47,0,0.0%,$0.00
2026-05-16 23:33:40,0,0.0%,$0.00
2026-05-16 23:41:39,0,0.0%,$0.00
2026-05-16 23:49:26,0,0.0%,$0.00
2026-05-16 23:57:12,0,0.0%,$0.00
2026-05-17 00:04:56,0,0.0%,$0.00
2026-05-17 00:12:45,0,0.0%,$0.00
2026-05-17 00:20:34,0,0.0%,$0.00
2026-05-17 00:28:30,0,0.0%,$0.00
2026-05-17 00:36:21,0,0.0%,$0.00
2026-05-17 00:44:07,0,0.0%,$0.00
2026-05-17 00:51:52,0,0.0%,$0.00
2026-05-17 00:59:38,0,0.0%,$0.00
2026-05-17 01:07:15,0,0.0%,$0.00
2026-05-17 01:15:30,0,0.0%,$0.00
2026-05-17 01:23:54,0,0.0%,$0.00
2026-05-17 01:32:29,0,0.0%,$0.00
2026-05-17 01:40:49,0,0.0%,$0.00
2026-05-17 01:49:18,0,0.0%,$0.00
2026-05-17 01:56:59,0,0.0%,$0.00
2026-05-17 02:04:38,0,0.0%,$0.00
2026-05-17 02:12:10,0,0.0%,$0.00
2026-05-17 02:19:45,0,0.0%,$0.00
2026-05-17 02:27:25,0,0.0%,$0.00
2026-05-17 02:36:19,0,0.0%,$0.00
2026-05-17 02:46:32,0,0.0%,$0.00
2026-05-17 02:55:23,0,0.0%,$0.00
2026-05-17 03:03:05,0,0.0%,$0.00
2026-05-17 03:10:43,0,0.0%,$0.00
2026-05-17 03:18:24,0,0.0%,$0.00
2026-05-17 03:26:26,0,0.0%,$0.00
2026-05-17 03:34:08,0,0.0%,$0.00
2026-05-17 03:42:35,0,0.0%,$0.00
2026-05-17 03:51:30,0,0.0%,$0.00
2026-05-17 03:59:56,0,0.0%,$0.00
2026-05-17 04:07:35,0,0.0%,$0.00
2026-05-17 04:15:56,0,0.0%,$0.00
2026-05-17 04:24:17,0,0.0%,$0.00
2026-05-17 04:32:41,0,0.0%,$0.00
2026-05-17 04:40:16,0,0.0%,$0.00
2026-05-17 04:48:03,0,0.0%,$0.00
2026-05-17 04:55:42,0,0.0%,$0.00
2026-05-17 05:03:14,0,0.0%,$0.00
2026-05-17 05:10:49,0,0.0%,$0.00
2026-05-17 05:18:32,0,0.0%,$0.00
2026-05-17 05:26:07,0,0.0%,$0.00
2026-05-17 05:33:36,0,0.0%,$0.00
2026-05-17 05:41:23,0,0.0%,$0.00
2026-05-17 05:48:59,0,0.0%,$0.00
2026-05-17 05:57:32,0,0.0%,$0.00
2026-05-17 06:05:58,0,0.0%,$0.00
2026-05-17 06:14:02,0,0.0%,$0.00
2026-05-17 06:21:46,0,0.0%,$0.00
2026-05-17 06:29:15,0,0.0%,$0.00
2026-05-17 06:36:49,0,0.0%,$0.00
2026-05-17 06:44:26,0,0.0%,$0.00
2026-05-17 06:51:58,0,0.0%,$0.00
2026-05-17 06:59:38,0,0.0%,$0.00
2026-05-17 07:07:21,0,0.0%,$0.00
2026-05-17 07:15:27,0,0.0%,$0.00
2026-05-17 07:23:39,0,0.0%,$0.00
2026-05-17 07:31:42,0,0.0%,$0.00
2026-05-17 07:39:16,0,0.0%,$0.00
2026-05-17 07:46:55,0,0.0%,$0.00
2026-05-17 07:55:03,0,0.0%,$0.00
2026-05-17 08:03:13,0,0.0%,$0.00
2026-05-17 08:11:26,0,0.0%,$0.00
2026-05-17 08:19:39,0,0.0%,$0.00
2026-05-17 08:27:37,0,0.0%,$0.00
2026-05-17 08:35:47,0,0.0%,$0.00
2026-05-17 08:44:05,0,0.0%,$0.00
2026-05-17 08:52:14,0,0.0%,$0.00
2026-05-17 09:00:58,0,0.0%,$0.00
2026-05-17 09:09:29,0,0.0%,$0.00
2026-05-17 09:17:50,0,0.0%,$0.00
2026-05-17 09:25:57,0,0.0%,$0.00
2026-05-17 09:33:56,0,0.0%,$0.00
2026-05-17 09:42:22,0,0.0%,$0.00
2026-05-17 09:50:25,0,0.0%,$0.00
2026-05-17 09:58:36,0,0.0%,$0.00
2026-05-17 10:06:49,0,0.0%,$0.00
2026-05-17 10:14:59,0,0.0%,$0.00
2026-05-17 10:23:22,0,0.0%,$0.00
2026-05-17 10:31:31,0,0.0%,$0.00
2026-05-17 10:39:54,0,0.0%,$0.00
2026-05-17 10:48:20,0,0.0%,$0.00
2026-05-17 10:56:44,0,0.0%,$0.00
2026-05-17 11:05:08,0,0.0%,$0.00
2026-05-17 11:13:36,0,0.0%,$0.00
2026-05-17 11:22:21,0,0.0%,$0.00
2026-05-17 11:30:56,0,0.0%,$0.00
2026-05-17 11:38:52,0,0.0%,$0.00
2026-05-17 11:47:24,0,0.0%,$0.00
2026-05-17 11:55:39,0,0.0%,$0.00
2026-05-17 12:03:29,0,0.0%,$0.00
2026-05-17 12:11:10,0,0.0%,$0.00
2026-05-17 12:19:28,0,0.0%,$0.00
2026-05-17 12:27:50,0,0.0%,$0.00
2026-05-17 12:36:00,0,0.0%,$0.00
2026-05-17 12:43:39,0,0.0%,$0.00
2026-05-17 12:51:22,0,0.0%,$0.00
2026-05-17 12:59:10,0,0.0%,$0.00
2026-05-17 13:06:53,0,0.0%,$0.00
2026-05-17 13:14:40,0,0.0%,$0.00
2026-05-17 13:22:24,0,0.0%,$0.00
2026-05-17 13:30:14,0,0.0%,$0.00
2026-05-17 13:38:21,0,0.0%,$0.00
2026-05-17 13:46:10,0,0.0%,$0.00
2026-05-17 13:54:06,0,0.0%,$0.00
2026-05-17 14:02:53,0,0.0%,$0.00
2026-05-17 14:11:26,0,0.0%,$0.00
2026-05-17 14:19:54,0,0.0%,$0.00
2026-05-17 14:28:23,0,0.0%,$0.00
2026-05-17 14:36:24,0,0.0%,$0.00
2026-05-17 14:44:09,0,0.0%,$0.00
2026-05-17 14:51:57,0,0.0%,$0.00
2026-05-17 15:00:06,0,0.0%,$0.00
2026-05-17 15:08:29,0,0.0%,$0.00
2026-05-17 15:17:12,0,0.0%,$0.00
2026-05-17 15:26:00,0,0.0%,$0.00
2026-05-17 15:34:59,0,0.0%,$0.00
2026-05-17 15:43:13,0,0.0%,$0.00
2026-05-17 15:51:05,0,0.0%,$0.00
2026-05-17 15:58:57,0,0.0%,$0.00
2026-05-17 16:06:54,0,0.0%,$0.00
2026-05-17 16:14:45,0,0.0%,$0.00
2026-05-17 16:22:43,0,0.0%,$0.00
2026-05-17 16:30:44,0,0.0%,$0.00
2026-05-17 16:38:53,0,0.0%,$0.00
2026-05-17 16:46:36,0,0.0%,$0.00
2026-05-17 16:54:12,0,0.0%,$0.00
2026-05-17 17:02:22,0,0.0%,$0.00
2026-05-17 17:11:23,0,0.0%,$0.00
2026-05-17 17:20:36,0,0.0%,$0.00
2026-05-17 17:29:34,0,0.0%,$0.00
2026-05-17 17:38:27,0,0.0%,$0.00
2026-05-17 17:46:47,0,0.0%,$0.00
2026-05-17 17:54:26,0,0.0%,$0.00
2026-05-17 18:02:12,0,0.0%,$0.00
2026-05-17 18:09:55,0,0.0%,$0.00
2026-05-17 18:17:32,0,0.0%,$0.00
2026-05-17 18:25:14,0,0.0%,$0.00
2026-05-17 18:32:57,0,0.0%,$0.00
2026-05-17 18:40:40,0,0.0%,$0.00
2026-05-17 18:48:28,0,0.0%,$0.00
2026-05-17 18:56:09,0,0.0%,$0.00
2026-05-17 20:00:46,0,0.0%,$0.00
2026-05-17 20:10:09,0,0.0%,$0.00
2026-05-17 20:18:34,0,0.0%,$0.00
2026-05-17 20:27:01,0,0.0%,$0.00
2026-05-17 20:34:53,0,0.0%,$0.00
